id	label	synonyms	snomed	omop	doid	mondo	nci	icd10	orphanet	omim	umls	mesh
ORPHA:2508	Corpus callosum agenesis-abnormal genitalia syndrome	ACC-abnormal genitalia syndrome | Microcephaly-corpus callosum agenesis-abnormal genitalia syndrome | Proud syndrome | Proud-Levine-Carpenter syndrome							2508	300004	C0796124	C563110
ORPHA:727620	16p13.11p11.2 triplication/16p11.2 duplication syndrome	Tetrasomy 16p13.11p11.2/trisomy 16p11.2 syndrome | Trip(16)(p13.11p11.2)/Dup(16)p(11.2) syndrome							727620			
ORPHA:261781	Partial deletion of chromosome 4 syndrome	Partial monosomy of chromosome 4							261781		C5679648	
ORPHA:2516	Microcephaly-cardiac defect-lung malsegmentation syndrome	Ellis-Yale-Winter syndrome							2516	601355	C2931129	C536205
ORPHA:261786	Partial deletion of chromosome 5 syndrome	Partial monosomy of chromosome 5							261786		C5679649	
ORPHA:2515	Microcephaly-cardiomyopathy syndrome	Winship-Viljoen-Leary syndrome							2515	251220	C1855080	C536711
ORPHA:727651	Loin pain-hematuria syndrome	LPHS							727651			
ORPHA:261771	Partial deletion of chromosome 2 syndrome	Partial monosomy of chromosome 2							261771		C5679650	
ORPHA:2514	Autosomal dominant primary microcephaly								2514	156580	C4755316	C537323
ORPHA:727719	Monoamine oxidase A and monoamine oxidase B deficiency	Monoamine oxidase A and monoamine oxidase B deletion syndrome | MAOA/B deletion syndrome | MAOA/B deficiency							727719			
ORPHA:261776	Partial deletion of chromosome 3 syndrome	Partial monosomy of chromosome 3							261776		C5679651	
ORPHA:2513	Microcephaly-albinism-digital anomalies syndrome	Castro Gago-Pombo-Novo syndrome							2513	203340	C1859910	C537322
ORPHA:727803	Isolated global cerebellar hypoplasia	Isolated generalized cerebellar hypoplasia							727803			
ORPHA:261801	Partial deletion of chromosome 8 syndrome	Partial monosomy of chromosome 8							261801		C5679652	
ORPHA:2521	Microcephaly-cleft palate-abnormal retinal pigmentation syndrome								2521		C2930954	
ORPHA:727820	Brainstem disconnection syndrome								727820			
ORPHA:261806	Partial deletion of chromosome 9 syndrome	Partial monosomy of chromosome 9							261806		C5679653	
ORPHA:261791	Partial deletion of chromosome 6 syndrome	Partial monosomy of chromosome 6							261791		C5679654	
ORPHA:2518	Autosomal recessive chorioretinopathy-microcephaly syndrome	Autosomal recessive chorioretinopathy-microcephaly-intellectual disability syndrome							2518		C4749272	
ORPHA:727861	YARS1-related multisystemic disease								727861	619418		
ORPHA:261796	Partial deletion of chromosome 7 syndrome	Partial monosomy of chromosome 7							261796		C5679655	
ORPHA:261821	Partial deletion of the long arm of chromosome 12 syndrome	Partial deletion of chromosome 12q | Partial monosomy of chromosome 12q | Partial monosomy of the long arm of chromosome 12							261821		C5679656	
